userID;timeStamp;trainingIsOn;condition;targetOrder;repetition;targetPos_x;targetPos_y;cursor_x;cursor_y;isRefining
userID;timeStamp;trainingIsOn;condition;targetOrder;repetition;targetPos_x;targetPos_y;cursor_x;cursor_y;isRefining
userID;timeStamp;trainingIsOn;condition;targetOrder;repetition;targetPos_x;targetPos_y;cursor_x;cursor_y;isRefining
4;0.01636296;True;1;0;1;-0.8281411;0.73;-0.5514891;0.6827968;False
4;0.03170102;True;1;0;1;-0.8281411;0.73;-0.5515586;0.6838439;False
4;0.04920967;True;1;0;1;-0.8281411;0.73;-0.5514382;0.6843534;False
4;0.070994;True;1;0;1;-0.8281411;0.73;-0.550796;0.6851851;False
4;0.08525188;True;1;0;1;-0.8281411;0.73;-0.5502304;0.6851807;False
4;0.1000245;True;1;0;1;-0.8281411;0.73;-0.5503688;0.6851678;False
4;0.1150765;True;1;0;1;-0.8281411;0.73;-0.5507352;0.6853415;False
4;0.1443692;True;1;0;1;-0.8281411;0.73;-0.5511771;0.685195;False
4;0.1571602;True;1;0;1;-0.8281411;0.73;-0.5511416;0.6845202;False
4;0.1664642;True;1;0;1;-0.8281411;0.73;-0.5511328;0.6834413;False
4;0.1832983;True;1;0;1;-0.8281411;0.73;-0.5510497;0.6826407;False
4;0.2002694;True;1;0;1;-0.8281411;0.73;-0.5509123;0.6818518;False
4;0.2318296;True;1;0;1;-0.8281411;0.73;-0.5511965;0.6822397;False
4;0.2508427;True;1;0;1;-0.8281411;0.73;-0.5514237;0.682148;False
4;0.272377;True;1;0;1;-0.8281411;0.73;-0.5519524;0.6822821;False
4;0.2857623;True;1;0;1;-0.8281411;0.73;-0.5516916;0.6822523;False
4;0.2996461;True;1;0;1;-0.8281411;0.73;-0.551076;0.6823784;False
4;0.3178074;True;1;0;1;-0.8281411;0.73;-0.5500587;0.6823602;False
4;0.3330682;True;1;0;1;-0.8281411;0.73;-0.5491672;0.6826417;False
4;0.3497322;True;1;0;1;-0.8281411;0.73;-0.5486647;0.6832213;False
4;0.3671691;True;1;0;1;-0.8281411;0.73;-0.5488591;0.6834131;False
4;0.3819612;True;1;0;1;-0.8281411;0.73;-0.5489779;0.6839588;False
4;0.3998067;True;1;0;1;-0.8281411;0.73;-0.5496651;0.6841791;False
4;0.4151462;True;1;0;1;-0.8281411;0.73;-0.5502781;0.6849222;False
4;0.4342966;True;1;0;1;-0.8281411;0.73;-0.5505711;0.6854916;False
4;0.4482312;True;1;0;1;-0.8281411;0.73;-0.5504037;0.6859451;False
4;0.4656639;True;1;0;1;-0.8281411;0.73;-0.5502915;0.6855084;False
4;0.4886224;True;1;0;1;-0.8281411;0.73;-0.5501783;0.6859896;False
4;0.5002106;True;1;0;1;-0.8281411;0.73;-0.5498378;0.6861972;False
4;0.5152374;True;1;0;1;-0.8281411;0.73;-0.5490774;0.6863822;False
4;0.5332923;True;1;0;1;-0.8281411;0.73;-0.5489689;0.6866835;False
4;0.5496075;True;1;0;1;-0.8281411;0.73;-0.5484176;0.6865521;False
4;0.5646442;True;1;0;1;-0.8281411;0.73;-0.5476925;0.6862308;False
4;0.5849637;True;1;0;1;-0.8281411;0.73;-0.5472348;0.6858258;False
4;0.6099576;True;1;0;1;-0.8281411;0.73;-0.5462076;0.6852158;False
4;0.6197538;True;1;0;1;-0.8281411;0.73;-0.5447983;0.6847578;False
4;0.6417152;True;1;0;1;-0.8281411;0.73;-0.5434447;0.6838701;False
4;0.6510219;True;1;0;1;-0.8281411;0.73;-0.5430314;0.6832819;False
4;0.6658125;True;1;0;1;-0.8281411;0.73;-0.5409062;0.6818394;False
4;0.6849293;True;1;0;1;-0.8281411;0.73;-0.5401599;0.6809063;False
4;0.6998451;True;1;0;1;-0.8281411;0.73;-0.5390189;0.6804988;False
4;0.7345842;True;1;0;1;-0.8281411;0.73;-0.5383036;0.6798214;False
4;0.7462406;True;1;0;1;-0.8281411;0.73;-0.5372959;0.677656;False
4;0.7586815;True;1;0;1;-0.8281411;0.73;-0.5372959;0.6776561;False
4;0.7736326;True;1;0;1;-0.8281411;0.73;-0.5371135;0.6752661;False
4;0.7827161;True;1;0;1;-0.8281411;0.73;-0.5374167;0.6729693;False
4;0.7999841;True;1;0;1;-0.8281411;0.73;-0.538373;0.6712357;False
4;0.8168855;True;1;0;1;-0.8281411;0.73;-0.5391443;0.6704261;False
4;0.8341321;True;1;0;1;-0.8281411;0.73;-0.5397411;0.6694085;False
4;0.8481671;True;1;0;1;-0.8281411;0.73;-0.5389464;0.6691899;False
4;0.8654717;True;1;0;1;-0.8281411;0.73;-0.5374621;0.6683052;False
4;0.8814144;True;1;0;1;-0.8281411;0.73;-0.5371675;0.6681409;False
4;0.8978107;True;1;0;1;-0.8281411;0.73;-0.5366454;0.6687024;False
4;0.9143768;True;1;0;1;-0.8281411;0.73;-0.5369171;0.6692985;False
4;0.9334584;True;1;0;1;-0.8281411;0.73;-0.5379378;0.6699816;False
4;0.9486534;True;1;0;1;-0.8281411;0.73;-0.538185;0.6701469;False
4;0.964819;True;1;0;1;-0.8281411;0.73;-0.5398667;0.6712693;False
4;0.9816137;True;1;0;1;-0.8281411;0.73;-0.5421287;0.6719873;False
4;0.9998195;True;1;0;1;-0.8281411;0.73;-0.5447236;0.6721536;False
4;1.015049;True;1;0;1;-0.8281411;0.73;-0.5465009;0.6718624;False
4;1.033789;True;1;0;1;-0.8281411;0.73;-0.5480896;0.6699019;False
4;1.047587;True;1;0;1;-0.8281411;0.73;-0.54941;0.6676764;False
4;1.06491;True;1;0;1;-0.8281411;0.73;-0.5506957;0.6675897;False
4;1.082084;True;1;0;1;-0.8281411;0.73;-0.5510331;0.667425;False
4;1.098249;True;1;0;1;-0.8281411;0.73;-0.5498306;0.666416;False
4;1.117499;True;1;0;1;-0.8281411;0.73;-0.5478061;0.6657357;False
4;1.13178;True;1;0;1;-0.8281411;0.73;-0.546305;0.6643203;False
4;1.148504;True;1;0;1;-0.8281411;0.73;-0.5447217;0.665424;False
4;1.166325;True;1;0;1;-0.8281411;0.73;-0.54276;0.6672959;False
4;1.184598;True;1;0;1;-0.8281411;0.73;-0.5404958;0.6689178;False
4;1.198946;True;1;0;1;-0.8281411;0.73;-0.5373594;0.6698532;False
4;1.218627;True;1;0;1;-0.8281411;0.73;-0.533954;0.6696787;False
4;1.232043;True;1;0;1;-0.8281411;0.73;-0.5308591;0.6687683;False
4;1.27276;True;1;0;1;-0.8281411;0.73;-0.5277383;0.6683055;False
